행정동코드,유동인구,행정동명,임대시세,평균영업기간(년),점포수,1년 생존율(%),3년 생존율(%),5년 생존율(%),평균 개업수,평균 폐업수,2022_평균매출,2023_평균매출,2024_평균매출,행정동_추천점수
11440585,68061.76581499999,도화동,141850.75,4.15,63.0,77.38,50.9,56.75,2.5,2.25,22183647.78,26006947.86,37018816.69,0.41279681171648874
11440655,41342.24742225,서강동,144878.0,3.454165,140.5,71.82,36.02,37.3,9.0,6.25,56663660.55,37383145.07,30714390.13,0.37227164488555803
11440660,104163.48081325,서교동,164518.0,3.7520825,758.5,79.92,50.18,43.95,42.5,29.75,11219369.43,10667274.53,9758730.59,0.3564304612802205
11440610,106970.948135,염리동,132879.25,3.5,55.0,71.38,49.48,23.35,4.0,3.0,13717137.24,13993746.64,14099404.32,0.3089141013120221
11440710,100767.00068025,연남동,142017.75,3.060415,322.25,69.42,45.5,33.7,23.5,10.5,9502758.65,8144501.94,8805101.74,0.2712322339844687
11440730,34573.810935,성산2동,112450.5,4.3916675000000005,61.0,88.18,71.68,44.02,3.75,2.75,9576727.25,10071036.14,7604418.05,0.26183422463624384
11440700,85304.45451775,망원2동,114534.0,3.20625,79.75,72.4,49.18,45.02,6.5,3.5,4815736.19,4413146.99,4951503.35,0.25706265736991235
11440600,81749.70820175,대흥동,133134.25,3.5208325,97.75,72.42,55.72,40.62,5.0,3.0,6854237.74,9171161.58,5404580.31,0.2362706304009864
11440630,62377.793589,신수동,130691.75,3.164585,51.75,71.58,49.42,42.95,3.0,2.5,6934401.14,10717379.27,11183915.65,0.20681163008267073
11440680,26924.3794395,합정동,137256.5,3.6291700000000002,180.25,82.5,43.45,36.88,11.0,9.25,16642431.68,13685505.83,13404305.28,0.18748194220429498
11440555,103855.1997535,아현동,165618.5,3.2583349999999998,59.75,89.08,29.8,35.15,2.25,3.0,1532990.93,1768132.8,1642784.76,0.1262424978558785
11440690,64412.04721825,망원1동,143065.0,2.9291675,160.75,78.35,54.58,33.45,12.75,7.5,2333322.68,2690394.0,2638738.16,0.12600871097878064
11440740,6250.611285,상암동,170311.75,3.4791675,204.25,80.05,46.05,40.55,10.0,9.0,13609250.93,13345917.5,11799869.43,0.05472789196618541
