region_name,region_code
서울시 전체,11
종로구,11110
청운효자동,11110515
사직동,11110530
삼청동,11110540
부암동,11110550
평창동,11110560
무악동,11110570
교남동,11110580
가회동,11110600
종로1·2·3·4가동,11110615
종로5·6가동,11110630
이화동,11110640
혜화동,11110650
창신1동,11110670
창신2동,11110680
창신3동,11110690
숭인1동,11110700
숭인2동,11110710
중구,11140
소공동,11140520
회현동,11140540
명동,11140550
필동,11140570
장충동,11140580
광희동,11140590
을지로동,11140605
신당동,11140615
다산동,11140625
약수동,11140635
청구동,11140645
신당5동,11140650
동화동,11140665
황학동,11140670
중림동,11140680
용산구,11170
후암동,11170510
용산2가동,11170520
남영동,11170530
청파동,11170555
원효로1동,11170560
원효로2동,11170570
효창동,11170580
용문동,11170590
한강로동,11170625
이촌1동,11170630
이촌2동,11170640
이태원1동,11170650
이태원2동,11170660
한남동,11170685
서빙고동,11170690
보광동,11170700
성동구,11200
왕십리2동,11200520
왕십리도선동,11200535
마장동,11200540
사근동,11200550
행당1동,11200560
행당2동,11200570
응봉동,11200580
금호1가동,11200590
금호2·3가동,11200615
금호4가동,11200620
옥수동,11200645
성수1가1동,11200650
성수1가2동,11200660
성수2가1동,11200670
성수2가3동,11200690
송정동,11200720
용답동,11200790
광진구,11215
화양동,11215710
군자동,11215730
중곡1동,11215740
중곡2동,11215750
중곡3동,11215760
중곡4동,11215770
능동,11215780
광장동,11215810
자양1동,11215820
자양2동,11215830
자양3동,11215840
자양4동,11215847
구의1동,11215850
구의2동,11215860
구의3동,11215870
동대문구,11230
용신동,11230536
제기동,11230545
전농1동,11230560
전농2동,11230570
답십리1동,11230600
답십리2동,11230610
장안1동,11230650
장안2동,11230660
청량리동,11230705
회기동,11230710
휘경1동,11230720
휘경2동,11230730
이문1동,11230740
이문2동,11230750
중랑구,11260
면목2동,11260520
면목4동,11260540
면목5동,11260550
면목본동,11260565
면목7동,11260570
면목3·8동,11260575
상봉1동,11260580
상봉2동,11260590
중화1동,11260600
중화2동,11260610
묵1동,11260620
묵2동,11260630
망우본동,11260655
망우3동,11260660
신내1동,11260680
신내2동,11260690
성북구,11290
성북동,11290525
삼선동,11290555
동선동,11290575
돈암1동,11290580
돈암2동,11290590
안암동,11290600
보문동,11290610
정릉1동,11290620
정릉2동,11290630
정릉3동,11290640
정릉4동,11290650
길음1동,11290660
길음2동,11290685
종암동,11290705
월곡1동,11290715
월곡2동,11290725
장위1동,11290760
장위2동,11290770
장위3동,11290780
석관동,11290810
강북구,11305
삼양동,11305534
미아동,11305535
송중동,11305545
송천동,11305555
삼각산동,11305575
번1동,11305595
번2동,11305603
번3동,11305608
수유1동,11305615
수유2동,11305625
수유3동,11305635
우이동,11305645
인수동,11305660
도봉구,11320
창1동,11320511
창2동,11320512
창3동,11320513
창4동,11320514
창5동,11320515
도봉1동,11320521
도봉2동,11320522
쌍문1동,11320660
쌍문2동,11320670
쌍문3동,11320680
쌍문4동,11320681
방학1동,11320690
방학2동,11320700
